127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000291
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.000261
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000710
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 304, 0.000347
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 304, 0.000403
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 304, 0.000424
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 304, 0.000434
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000356
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/default/index, HTTP/1.1, 200, 0.873312
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000460
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002125
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/css/calendar.css, HTTP/1.1, 200, 0.001505
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001298
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/js/jquery.js, HTTP/1.1, 200, 0.003076
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/js/web2py.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/css/style.css, HTTP/1.1, 200, 0.005593
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000574
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/js/calendar.js, HTTP/1.1, 200, 0.000898
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004190
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 200, 0.000472
